INSTNM,STABBR,CONTROL,C150_4,MD_EARN_WNE_P10
Upper Iowa University,IA,2,0.4147,52766.0
Wartburg College,IA,2,0.6682,56201.0
William Penn University,IA,2,0.2924,48936.0
Baker University,KS,2,0.5938,63855.0
Benedictine College,KS,2,0.6507,53175.0
Bethany College,KS,2,0.2867,49694.0
Bethel College-North Newton,KS,2,0.4309,49898.0
Central Christian College of Kansas,KS,2,0.2303,44468.0
Donnelly College,KS,2,0.38,35715.0
Emporia State University,KS,1,0.543,47601.0
Fort Hays State University,KS,1,0.4785,48928.0
Barclay College,KS,2,0.5517,36355.0
Friends University,KS,2,0.6149,52113.0
Haskell Indian Nations University,KS,1,0.4259,37043.0
Hesston College,KS,2,0.5741,47495.0
University of Kansas,KS,1,0.6879,61945.0
Newman University,KS,2,0.5377,55041.0
Kansas State University,KS,1,0.7047,57262.0
Kansas Wesleyan University,KS,2,0.3846,51152.0
Manhattan Christian College,KS,2,0.5479,48860.0
McPherson College,KS,2,0.52,52084.0
MidAmerica Nazarene University,KS,2,0.4615,62972.0
Ottawa University-Ottawa,KS,2,0.2872,55552.0
Pittsburg State University,KS,1,0.5758,50579.0
University of Saint Mary,KS,2,0.4406,59483.0
Southwestern College,KS,2,0.3351,55646.0
Sterling College,KS,2,0.2903,45846.0
Tabor College,KS,2,0.3289,54058.0
Washburn University,KS,1,0.5263,49774.0
Wichita State University,KS,1,0.5143,51532.0
Alice Lloyd College,KY,2,0.2636,40573.0
Asbury University,KY,2,0.65,42368.0
Bellarmine University,KY,2,0.6775,62069.0
Berea College,KY,2,0.6204,43150.0
Brescia University,KY,2,0.4597,45500.0
Campbellsville University,KY,2,0.4713,41583.0
Centre College,KY,2,0.8529,66240.0
Clear Creek Baptist Bible College,KY,2,0.3333,41623.0
University of the Cumberlands,KY,2,0.4624,45036.0
Eastern Kentucky University,KY,1,0.4974,45795.0
Georgetown College,KY,2,0.4754,52074.0
Kentucky Mountain Bible College,KY,2,0.3571,21256.0
Kentucky State University,KY,1,0.2714,36382.0
Kentucky Wesleyan College,KY,2,0.526,46747.0
University of Kentucky,KY,1,0.6993,59025.0
Kentucky Christian University,KY,2,0.3377,42375.0
Lindsey Wilson College,KY,2,0.3808,41129.0
University of Louisville,KY,1,0.6068,53899.0
Midway University,KY,2,0.4638,44246.0
Morehead State University,KY,1,0.4769,43197.0
Murray State University,KY,1,0.5953,44737.0
Northern Kentucky University,KY,1,0.4828,50220.0
University of Pikeville,KY,2,0.3907,48231.0
Spalding University,KY,2,0.5732,49438.0
Thomas More University,KY,2,0.4011,59384.0
Transylvania University,KY,2,0.6975,54705.0
Union Commonwealth University,KY,2,0.3603,42002.0
Western Kentucky University,KY,1,0.5367,43889.0
Centenary College of Louisiana,LA,2,0.593,50330.0
Dillard University,LA,2,0.451,39196.0
Grambling State University,LA,1,0.3234,41109.0
Louisiana State University-Alexandria,LA,1,0.3552,42205.0
Louisiana State University and Agricultural & Mechanical College,LA,1,0.7096,61251.0
Louisiana State University-Shreveport,LA,1,0.3321,47477.0
Louisiana Christian University,LA,2,0.4128,51700.0
Louisiana Tech University,LA,1,0.5762,52279.0
Loyola University New Orleans,LA,2,0.6742,52927.0
McNeese State University,LA,1,0.5201,46453.0
University of New Orleans,LA,1,0.4251,47872.0
Nicholls State University,LA,1,0.5429,45454.0
University of Louisiana at Monroe,LA,1,0.506,46769.0
Northwestern State University of Louisiana,LA,1,0.4463,47021.0
University of Holy Cross,LA,2,0.3582,49316.0
Franciscan Missionaries of Our Lady University,LA,2,0.5132,59419.0
Saint Joseph Seminary College,LA,2,0.4,38366.0
Southeastern Louisiana University,LA,1,0.448,46482.0
Southern University and A & M College,LA,1,0.2845,43371.0
Southern University at New Orleans,LA,1,0.1786,34042.0
University of Louisiana at Lafayette,LA,1,0.52,47089.0
Tulane University of Louisiana,LA,2,0.8891,63268.0
Xavier University of Louisiana,LA,2,0.5021,52184.0
College of the Atlantic,ME,2,0.6923,40264.0
Bates College,ME,2,0.9059,69498.0
Bowdoin College,ME,2,0.956,82735.0
Maine College of Health Professions,ME,2,0.8333,79840.0
Colby College,ME,2,0.9022,80490.0
University of Maine at Augusta,ME,1,0.2328,40342.0
University of Maine at Farmington,ME,1,0.5275,44433.0
University of Maine at Fort Kent,ME,1,0.3984,51077.0
University of Maine,ME,1,0.5643,48653.0
Maine Maritime Academy,ME,1,0.6141,89964.0
University of Maine at Presque Isle,ME,1,0.3766,40956.0
University of New England,ME,2,0.6083,55921.0
Maine College of Art & Design,ME,2,0.4874,40778.0
Saint Joseph's College of Maine,ME,2,0.6855,59045.0
University of Southern Maine,ME,1,0.4634,49958.0
Thomas College,ME,2,0.5136,44991.0
Unity Environmental University,ME,2,0.5698,37852.0
University of Baltimore,MD,1,0.4673,61335.0
Bowie State University,MD,1,0.3814,54537.0
Capitol Technology University,MD,2,0.4667,85035.0
Washington Adventist University,MD,2,0.4,64249.0
Coppin State University,MD,1,0.2559,46490.0
Frostburg State University,MD,1,0.5207,55493.0
Goucher College,MD,2,0.6,53023.0
Hood College,MD,2,0.5529,57089.0
Johns Hopkins University,MD,2,0.9463,87555.0
Loyola University Maryland,MD,2,0.8049,82652.0
University of Maryland Global Campus,MD,1,0.2958,65287.0
University of Maryland-Baltimore County,MD,1,0.7055,69960.0
University of Maryland-College Park,MD,1,0.8862,82860.0
Maryland Institute College of Art,MD,2,0.7133,45212.0
University of Maryland Eastern Shore,MD,1,0.3464,47697.0
Morgan State University,MD,1,0.4161,50698.0
Mount St. Mary's University,MD,2,0.5802,64072.0
Ner Israel Rabbinical College,MD,2,0.439,66330.0
Notre Dame of Maryland University,MD,2,0.5195,65344.0
Salisbury University,MD,1,0.6745,61515.0
St. Mary's College of Maryland,MD,1,0.6804,60110.0
St. John's College,MD,2,0.6741,51584.0
Towson University,MD,1,0.6762,64390.0
Stevenson University,MD,2,0.6642,62079.0
Washington College,MD,2,0.7411,65518.0
McDaniel College,MD,2,0.6376,60663.0
American International College,MA,2,0.4228,53124.0
Amherst College,MA,2,0.9342,77644.0
Anna Maria College,MA,2,0.4044,46651.0
Assumption University,MA,2,0.7459,74895.0
Babson College,MA,2,0.9236,123938.0
Boston Baptist College,MA,2,0.4444,34159.0
Bay Path University,MA,2,0.5694,55383.0
Bentley University,MA,2,0.8821,120959.0
Berklee College of Music,MA,2,0.6635,33647.0
Boston Architectural College,MA,2,0.3846,62123.0
Boston College,MA,2,0.9099,103937.0
Boston University,MA,2,0.8997,83238.0
Brandeis University,MA,2,0.8611,77231.0
Bridgewater State University,MA,1,0.5461,57466.0
Cambridge College,MA,2,0.125,45998.0
Clark University,MA,2,0.7712,62381.0
Curry College,MA,2,0.4825,54400.0
Dean College,MA,2,0.4317,38109.0
Eastern Nazarene College,MA,2,0.3529,54727.0
Emerson College,MA,2,0.7927,62832.0
Emmanuel College,MA,2,0.6582,68245.0
Endicott College,MA,2,0.7543,58336.0
Fisher College,MA,2,0.2844,49669.0
Fitchburg State University,MA,1,0.5273,53874.0
Framingham State University,MA,1,0.4954,52349.0
Benjamin Franklin Cummings Institute of Technology,MA,2,0.4716,57556.0
Gordon College,MA,2,0.6763,52119.0
Hampshire College,MA,2,0.5723,46938.0
Harvard University,MA,2,0.9733,101817.0
Hellenic College-Holy Cross Greek Orthodox School of Theology,MA,2,0.4444,51724.0
College of the Holy Cross,MA,2,0.8961,90543.0
Lasell University,MA,2,0.5317,49705.0
Lesley University,MA,2,0.6174,51173.0
Longy School of Music of Bard College,MA,2,0.4444,46543.0
University of Massachusetts-Lowell,MA,1,0.701,64874.0
University of Massachusetts-Amherst,MA,1,0.8316,71631.0
University of Massachusetts-Boston,MA,1,0.5115,65865.0
MCPHS University,MA,2,0.6332,125557.0
Massachusetts College of Art and Design,MA,1,0.6919,43582.0
Massachusetts Institute of Technology,MA,2,0.9608,143372.0
Massachusetts Maritime Academy,MA,1,0.7912,82392.0
Merrimack College,MA,2,0.7213,75584.0
Montserrat College of Art,MA,2,0.6154,33022.0
Mount Holyoke College,MA,2,0.8504,58418.0
The New England Conservatory of Music,MA,2,0.7778,34483.0
Nichols College,MA,2,0.6364,58063.0
Massachusetts College of Liberal Arts,MA,1,0.4913,48102.0
Northeastern University,MA,2,0.9038,92538.0
College of Our Lady of the Elms,MA,2,0.6474,51540.0
Quincy College,MA,1,0.1663,52506.0
Regis College,MA,2,0.6949,52873.0
Salem State University,MA,1,0.5499,56662.0
Simmons University,MA,2,0.7125,63494.0
Bard College at Simon's Rock,MA,2,0.5417,46543.0
Smith College,MA,2,0.8966,64027.0
Springfield College,MA,2,0.6763,48036.0
University of Massachusetts-Dartmouth,MA,1,0.4897,68804.0
Stonehill College,MA,2,0.8081,77745.0
Suffolk University,MA,2,0.5985,67506.0
Tufts University,MA,2,0.9333,83214.0
Wellesley College,MA,2,0.9121,84803.0
Wentworth Institute of Technology,MA,2,0.6863,82721.0
Western New England University,MA,2,0.6389,73157.0
Westfield State University,MA,1,0.5486,57346.0
Wheaton College (Massachusetts),MA,2,0.757,67725.0
Williams College,MA,2,0.9655,88665.0
Worcester Polytechnic Institute,MA,2,0.8843,103470.0
Worcester State University,MA,1,0.5551,60624.0
Adrian College,MI,2,0.5595,55504.0
Albion College,MI,2,0.5709,58799.0
Alma College,MI,2,0.6373,54742.0
Alpena Community College,MI,1,0.502,36442.0
Andrews University,MI,2,0.6593,53187.0
Aquinas College,MI,2,0.625,49584.0
Baker College,MI,2,0.3133,35833.0
Calvin University,MI,2,0.7736,58375.0
Central Michigan University,MI,1,0.6184,55874.0
Cleary University,MI,2,0.3939,54186.0
Concordia University Ann Arbor,MI,2,0.5,56075.0
College for Creative Studies,MI,2,0.6962,44860.0
Davenport University,MI,2,0.4952,45099.0
University of Detroit Mercy,MI,2,0.681,71030.0
Eastern Michigan University,MI,1,0.4549,51793.0
Ferris State University,MI,1,0.4787,54735.0
Kettering University,MI,2,0.7054,94823.0
Grace Christian University,MI,2,0.4286,41663.0
Cornerstone University,MI,2,0.6157,47314.0
Grand Valley State University,MI,1,0.6865,56118.0
Great Lakes Christian College,MI,2,0.2593,31053.0
Henry Ford College,MI,1,0.1063,34795.0
Hope College,MI,2,0.8226,58427.0
Jackson College,MI,1,0.1738,36898.0
Kalamazoo College,MI,2,0.817,65590.0
Lake Superior State University,MI,1,0.5694,49045.0
Lawrence Technological University,MI,2,0.6257,69151.0
Madonna University,MI,2,0.5815,59058.0
Rochester University,MI,2,0.414,48707.0
University of Michigan-Ann Arbor,MI,1,0.9322,83648.0
Michigan State University,MI,1,0.8217,67253.0
Michigan Technological University,MI,1,0.6872,78198.0
University of Michigan-Dearborn,MI,1,0.5655,59649.0
University of Michigan-Flint,MI,1,0.4456,53230.0
Northern Michigan University,MI,1,0.5084,47107.0
Northwestern Michigan College,MI,1,0.2489,38167.0
Northwood University,MI,2,0.6107,63075.0
Oakland University,MI,1,0.5694,58612.0
The University of Olivet,MI,2,0.3704,47907.0
Kuyper College,MI,2,0.5357,41066.0
Sacred Heart Major Seminary,MI,2,0.6667,49295.0
Saginaw Valley State University,MI,1,0.5382,51955.0
Schoolcraft Community College District,MI,1,0.153,42722.0
Siena Heights University,MI,2,0.5111,57529.0
Spring Arbor University,MI,2,0.5985,51732.0
Wayne State University,MI,1,0.5651,53493.0
Western Michigan University,MI,1,0.5777,53562.0
Augsburg University,MN,2,0.5244,58829.0
Bemidji State University,MN,1,0.534,53755.0
Bethany Lutheran College,MN,2,0.5956,46110.0
Bethel University,MN,2,0.7522,63764.0
Carleton College,MN,2,0.9119,75525.0
Concordia College at Moorhead,MN,2,0.7183,59317.0
Concordia University-Saint Paul,MN,2,0.5878,59871.0
Martin Luther College,MN,2,0.7143,47491.0
Gustavus Adolphus College,MN,2,0.7585,65607.0
Hamline University,MN,2,0.5771,61106.0
Macalester College,MN,2,0.9041,63878.0
Minnesota State University-Mankato,MN,1,0.5411,56922.0
Metropolitan State University,MN,1,0.3837,64705.0
University of Minnesota-Twin Cities,MN,1,0.8482,69020.0
University of Minnesota-Crookston,MN,1,0.4973,58056.0
Minneapolis College of Art and Design,MN,2,0.6917,40873.0
Herzing University-Minneapolis,MN,2,0.7353,36909.0
University of Minnesota-Duluth,MN,1,0.6445,62616.0
University of Minnesota-Morris,MN,1,0.6193,50919.0
Minnesota State University Moorhead,MN,1,0.5464,50527.0
North Central University,MN,2,0.6359,45064.0
University of Northwestern-St Paul,MN,2,0.6837,50755.0
Northwestern Health Sciences University,MN,2,1.0,48666.0
Oak Hills Christian College,MN,2,0.3077,35983.0
College of Saint Benedict,MN,2,0.8304,63260.0
Saint Cloud State University,MN,1,0.4691,55813.0
Saint Johns University,MN,2,0.757,76786.0
Saint Mary's University of Minnesota,MN,2,0.6767,58170.0
St Olaf College,MN,2,0.835,65543.0
Crown College,MN,2,0.6434,48057.0
The College of Saint Scholastica,MN,2,0.6299,65934.0
University of St Thomas,MN,2,0.7517,73739.0
St Catherine University,MN,2,0.6513,59282.0
Southwest Minnesota State University,MN,1,0.4407,51342.0
Dunwoody College of Technology,MN,2,0.627,61511.0
Winona State University,MN,1,0.6089,58532.0
Alcorn State University,MS,1,0.4615,36421.0
Belhaven University,MS,2,0.5113,46440.0
Blue Mountain Christian University,MS,2,0.512,40421.0
Delta State University,MS,1,0.4686,41991.0
Jackson State University,MS,1,0.3219,39060.0
Millsaps College,MS,2,0.5546,53848.0
University of Mississippi,MS,1,0.6849,50994.0
Mississippi University for Women,MS,1,0.3779,46128.0
Mississippi Valley State University,MS,1,0.2214,31919.0
Mississippi College,MS,2,0.6281,47485.0
Mississippi State University,MS,1,0.6291,51513.0
Rust College,MS,2,0.2695,32275.0
Southeastern Baptist College,MS,2,1.0,26946.0
University of Southern Mississippi,MS,1,0.5058,44140.0
Tougaloo College,MS,2,0.3231,34724.0
William Carey University,MS,2,0.4083,43087.0
Avila University,MO,2,0.4262,52773.0
Mission University,MO,2,0.3824,38641.0
Cox College,MO,2,1.0,56867.0
Calvary University,MO,2,0.5263,45421.0
Central Christian College of the Bible,MO,2,0.4091,34675.0
Central Methodist University-College of Liberal Arts and Sciences,MO,2,0.525,48991.0
University of Central Missouri,MO,1,0.494,49560.0
Cleveland University-Kansas City,KS,2,0.3333,52304.0
Columbia College,MO,2,0.4567,45378.0
Conception Seminary College,MO,2,0.6429,50430.0
Cottey College,MO,2,0.6145,35422.0
Culver-Stockton College,MO,2,0.5017,46092.0
Drury University,MO,2,0.6602,40694.0
Evangel University,MO,2,0.648,46573.0
Fontbonne University,MO,2,0.5683,48825.0
Ozarks Technical Community College,MO,1,0.319,36455.0
Hannibal-LaGrange University,MO,2,0.4431,42643.0
Harris-Stowe State University,MO,1,0.2741,31088.0
Kansas City Art Institute,MO,2,0.6491,37032.0
Lincoln University,MO,1,0.221,39463.0
Lindenwood University,MO,2,0.5032,53278.0
Logan University,MO,2,0.0,55838.0
Maryville University of Saint Louis,MO,2,0.7152,62105.0
Midwestern Baptist Theological Seminary,MO,2,0.7,50535.0
Missouri Baptist University,MO,2,0.4819,46660.0
Missouri Southern State University,MO,1,0.3833,42620.0
Missouri Valley College,MO,2,0.2448,43221.0
Missouri Western State University,MO,1,0.398,42647.0
University of Missouri-Columbia,MO,1,0.7618,63403.0
University of Missouri-Kansas City,MO,1,0.5589,59637.0
Missouri University of Science and Technology,MO,1,0.636,82957.0
University of Missouri-St Louis,MO,1,0.5687,53037.0
Truman State University,MO,1,0.6839,56280.0
Northwest Missouri State University,MO,1,0.575,47885.0
Ozark Christian College,MO,2,0.6792,41297.0
College of the Ozarks,MO,2,0.6131,41592.0
Park University,MO,2,0.2996,56309.0
Ranken Technical College,MO,2,0.5058,55955.0
Rockhurst University,MO,2,0.7558,67102.0
Saint Louis University,MO,2,0.7975,70783.0
University of Health Sciences and Pharmacy in St. Louis,MO,2,0.7547,137047.0
Saint Louis Community College,MO,1,0.1769,35325.0
Southwest Baptist University,MO,2,0.5121,43112.0
Stephens College,MO,2,0.4651,43071.0
Southeast Missouri State University,MO,1,0.5568,44030.0
Missouri State University-Springfield,MO,1,0.5733,49827.0
Washington University in St Louis,MO,2,0.9445,86182.0
Webster University,MO,2,0.6106,50876.0
Westminster College,MO,2,0.5747,52199.0
William Jewell College,MO,2,0.6162,59268.0
William Woods University,MO,2,0.5699,42401.0
Blackfeet Community College,MT,2,0.0769,22953.0
Carroll College,MT,2,0.6633,61772.0
Montana State University Billings,MT,1,0.282,44296.0
Aaniiih Nakoda College,MT,1,0.3235,30528.0
University of Providence,MT,2,0.4674,48296.0
Montana Technological University,MT,1,0.5805,54329.0
Montana State University,MT,1,0.5735,53263.0
The University of Montana,MT,1,0.4544,44511.0
Montana State University-Northern,MT,1,0.4233,49505.0
Rocky Mountain College,MT,2,0.4675,49036.0
Salish Kootenai College,MT,1,0.3521,32725.0
The University of Montana-Western,MT,1,0.4945,43229.0
Bellevue University,NE,2,0.5588,61289.0
Clarkson College,NE,2,0.75,64876.0
Bryan College of Health Sciences,NE,2,0.7547,70845.0
Chadron State College,NE,1,0.3807,47002.0
Concordia University-Nebraska,NE,2,0.6408,52415.0
Creighton University,NE,2,0.8052,73911.0
Doane University,NE,2,0.5585,53316.0
Hastings College,NE,2,0.5327,51303.0
University of Nebraska at Kearney,NE,1,0.5975,50105.0
Nebraska Methodist College of Nursing & Allied Health,NE,2,0.6667,65071.0
Midland University,NE,2,0.4321,52163.0
University of Nebraska at Omaha,NE,1,0.475,53909.0
Nebraska Indian Community College,NE,1,0.1667,31458.0
Nebraska Wesleyan University,NE,2,0.6889,56405.0
University of Nebraska-Lincoln,NE,1,0.6585,56887.0
Peru State College,NE,1,0.3772,47071.0
College of Saint Mary,NE,2,0.5941,54338.0
Union Adventist University,NE,2,0.4586,55045.0
Wayne State College,NE,1,0.557,47075.0
York University,NE,2,0.374,44130.0
College of Southern Nevada,NV,1,0.1785,38087.0
University of Nevada-Las Vegas,NV,1,0.5012,55037.0
University of Nevada-Reno,NV,1,0.6245,60614.0
Great Basin College,NV,1,0.5153,39289.0
Truckee Meadows Community College,NV,1,0.2817,44573.0
Western Nevada College,NV,1,0.3663,41987.0
Colby-Sawyer College,NH,2,0.6162,46474.0
Dartmouth College,NH,2,0.9604,97434.0
Franklin Pierce University,NH,2,0.461,53353.0
Magdalen College,NH,2,0.5333,35809.0
New England College,NH,2,0.3109,42092.0
Southern New Hampshire University,NH,2,0.4487,50318.0
University of New Hampshire-Main Campus,NH,1,0.7645,66479.0
Keene State College,NH,1,0.5844,54368.0
University of New Hampshire at Manchester,NH,1,0.6508,66479.0
Plymouth State University,NH,1,0.4743,57304.0
Rivier University,NH,2,0.5871,52248.0
Saint Anselm College,NH,2,0.8315,73371.0
University of New Hampshire College of Professional Studies Online,NH,1,0.1429,66479.0
Thomas More College of Liberal Arts,NH,2,0.6154,53565.0
Bloomfield College of Montclair State University,NJ,2,0.3105,45902.0
Caldwell University,NJ,2,0.587,53843.0
Centenary University,NJ,2,0.5659,53726.0
Drew University,NJ,2,0.7243,63646.0
Fairleigh Dickinson University-Metropolitan Campus,NJ,2,0.6171,57273.0
Felician University,NJ,2,0.4968,57602.0
Fairleigh Dickinson University-Florham Campus,NJ,2,0.723,57273.0
Georgian Court University,NJ,2,0.5509,53096.0
Rowan University,NJ,1,0.6828,59988.0
New Jersey City University,NJ,1,0.3874,52745.0
Kean University,NJ,1,0.4338,57237.0
Monmouth University,NJ,2,0.7033,67991.0
Montclair State University,NJ,1,0.6426,61415.0
New Jersey Institute of Technology,NJ,1,0.7311,84276.0
Princeton University,NJ,2,0.9709,110066.0
Rabbinical College of America,NJ,2,0.1833,34990.0
Ramapo College of New Jersey,NJ,1,0.7186,67541.0
Rider University,NJ,2,0.6332,62208.0
Rutgers University-Camden,NJ,1,0.6645,74479.0
Rutgers University-New Brunswick,NJ,1,0.8501,74479.0
Rutgers University-Newark,NJ,1,0.676,74479.0
Saint Peter's University,NJ,2,0.6313,57815.0
Seton Hall University,NJ,2,0.7147,70196.0
Saint Elizabeth University,NJ,2,0.4024,53038.0
Stevens Institute of Technology,NJ,2,0.8988,108772.0
Stockton University,NJ,1,0.7197,57602.0
Talmudical Academy-New Jersey,NJ,2,0.1,40344.0
The College of New Jersey,NJ,1,0.8523,73323.0
William Paterson University of New Jersey,NJ,1,0.4771,57780.0
Navajo Technical University,NM,1,0.1971,26364.0
Eastern New Mexico University-Main Campus,NM,1,0.3981,38550.0
Institute of American Indian and Alaska Native Culture and Arts Development,NM,1,0.2453,24505.0
New Mexico Highlands University,NM,1,0.2559,45937.0
New Mexico Institute of Mining and Technology,NM,1,0.5636,76489.0
University of New Mexico-Main Campus,NM,1,0.5253,44792.0
New Mexico State University-Main Campus,NM,1,0.5222,39067.0
Northern New Mexico College,NM,1,0.3259,38112.0
University of the Southwest,NM,2,0.2667,45389.0
Western New Mexico University,NM,1,0.3489,39095.0
Vaughn College of Aeronautics and Technology,NY,2,0.3992,64973.0
Adelphi University,NY,2,0.6893,75482.0
Bryant & Stratton College-Albany,NY,2,0.2195,32568.0
Albany College of Pharmacy and Health Sciences,NY,2,0.6882,131426.0
Alfred University,NY,2,0.555,54897.0
American Musical and Dramatic Academy,NY,2,0.7202,26975.0
Associated Beth Rivkah Schools,NY,2,0.7407,17686.0
Bard College,NY,2,0.7271,46543.0
Barnard College,NY,2,0.9294,80516.0
Mount Sinai Phillips School of Nursing,NY,2,1.0,96980.0
Boricua College,NY,2,0.7063,35348.0
Bryant & Stratton College-Syracuse North,NY,2,0.25,32568.0
Bryant & Stratton College-Buffalo,NY,2,0.275,32568.0
Bryant & Stratton College-Greece,NY,2,0.3043,32568.0
Canisius University,NY,2,0.7065,60681.0
Central Yeshiva Tomchei Tmimim Lubavitz,NY,2,0.0278,35023.0
Clarkson University,NY,2,0.7356,89696.0
Colgate University,NY,2,0.9053,85139.0
Metropolitan College of New York,NY,2,0.2474,46236.0
Columbia University in the City of New York,NY,2,0.9496,102491.0
The Cooper Union for the Advancement of Science and Art,NY,2,0.8032,83847.0
Cornell University,NY,2,0.9514,104043.0
Culinary Institute of America,NY,2,0.6467,47475.0
CUNY Bernard M Baruch College,NY,1,0.7211,75971.0
CUNY Brooklyn College,NY,1,0.5658,60752.0
College of Staten Island CUNY,NY,1,0.3278,53501.0
CUNY City College,NY,1,0.5466,66039.0
CUNY Hunter College,NY,1,0.6099,63163.0
CUNY John Jay College of Criminal Justice,NY,1,0.5549,56195.0
CUNY Lehman College,NY,1,0.4929,58013.0
CUNY Medgar Evers College,NY,1,0.2229,46498.0
CUNY New York City College of Technology,NY,1,0.1941,49365.0
CUNY Queens College,NY,1,0.6016,62763.0
CUNY York College,NY,1,0.3027,56945.0
D'Youville  University,NY,2,0.5668,66942.0
Daemen University,NY,2,0.584,61808.0
Dominican University New York,NY,2,0.5677,61171.0
Elmira College,NY,2,0.6404,57550.0
Fashion Institute of Technology,NY,1,0.8333,62696.0
Fordham University,NY,2,0.8027,85569.0
Hamilton College,NY,2,0.9125,78411.0
Hartwick College,NY,2,0.4615,61107.0
Hilbert College,NY,2,0.4699,48309.0
Hobart William Smith Colleges,NY,2,0.7271,68831.0
Hofstra University,NY,2,0.671,69039.0
Houghton University,NY,2,0.6466,46721.0
Iona University,NY,2,0.5744,73595.0
Ithaca College,NY,2,0.7411,63548.0
